"","pd","sr","ymin","ymax","area","expPD","SESPD","color"
"Abusado",307.44424424643,5,306.479077613502,308.409410879358,13.31,228.263205624942,0.233152355900688,"blue"
"Adeus",480.133954494998,12,478.483871411182,481.784037578814,50.08,458.372655098642,0.0640771870393706,"black"
"Andre",246.615759856523,3,245.867328142914,247.364191570131,2.08,141.2322350546,0.310306829873015,"blue"
"Arrepiado",175.400289084174,6,174.864029761923,175.936548406425,7.43,259.774675875157,-0.248444418013165,"red"
"Bacaba",445.385347048956,11,444.049010326126,446.721683771786,53.35,429.380082065651,0.0471282683662544,"black"
"Beco_do_Catitu",931.42488897644,27,928.232495157959,934.617282794921,638.66,852.150906383626,0.233426033870294,"blue"
"Cafundo",307.444244246532,7,306.479077613614,308.409410879451,2.63,301.080613062273,0.0187380164307493,"black"
"CF_Grid_NS2",1268.19286419394,54,1262.65257745734,1273.73315093054,16988.4,1442.02303865473,-0.511851263986341,"red"
"CF_Grid_NS3",1347.83439041717,52,1342.31362812398,1353.35515271036,16988.4,1400.40101451604,-0.15478493921992,"black"
"CF_Loreno",976.940096693133,40,972.653960551553,981.226232834713,16988.4,1146.27304240535,-0.498608958808125,"red"
"CF_Tucumari",1131.79123832964,40,1127.80368407562,1135.77879258367,16988.4,1147.01693134883,-0.0448327814265597,"black"
"CF_Waba",853.84476522839,28,850.153673858842,857.535856597938,16988.4,874.956743452964,-0.0621652297883286,"black"
"Cipoal",858.349338720776,23,855.623304652728,861.075372788823,217.63,754.808715016974,0.304880319433148,"blue"
"Coata",677.594924041262,17,675.389525941873,679.800322140651,16.94,598.743061237357,0.232183081959459,"blue"
"Formiga",119.734639051734,6,119.284810184433,120.184467919035,1.54,265.931808198562,-0.430484557995479,"red"
"Furo_de_Santa_Luzia",765.361835070551,30,762.194079370206,768.529590770896,198.52,920.957657304277,-0.458159341600917,"red"
"Fuzaca",1141.44788637081,43,1137.07504528265,1145.82072745897,941.71,1211.58468217788,-0.206521150296016,"red"
"Garrafa",469.695156610441,9,468.247567789687,471.142745431195,9.42,368.690050979616,0.29741436517901,"blue"
"Gaviao_real",760.637601189481,27,757.680546739273,763.594655639689,1698.84,850.705896483521,-0.265210403972466,"red"
"Jabuti",762.82305099671,22,760.33396153173,765.312140461689,232.49,729.217613412456,0.0989528185061719,"black"
"Jiquitaia",482.649961825289,10,481.112746736191,484.187176914386,6.79,398.004102379636,0.249243782230919,"blue"
"Joaninha",301.072805527298,10,300.053440729027,302.09217032557,0.63,400.317311326118,-0.292230194754161,"red"
"Martelo",635.245733875454,15,633.005709220576,637.485758530332,466.6,545.679797089461,0.263731185314853,"blue"
"Mascote",817.195865812206,30,813.972254449338,820.419477175073,668.03,921.04147589861,-0.305778366425957,"red"
"Moita",486.925247856138,13,485.461909198258,488.388586514019,91.3,488.845494686623,-0.00565425864869684,"black"
"Neto",415.458762241164,12,414.091373961765,416.826150520563,32.87,458.267997843403,-0.126053842040168,"black"
"Palhal",380.386712706012,11,378.831918077523,381.941507334501,21.37,427.831800332808,-0.139704330085663,"black"
"Panema",318.389207600065,4,317.402330508131,319.376084691999,3.08,188.710904078493,0.381843967970555,"blue"
"Pe_Torto",566.258292621119,14,564.518199663205,567.998385579034,4.98,516.629209329451,0.146135209793822,"black"
"Piquia",770.231043644134,20,767.647664318638,772.814422969631,13.04,678.802430551275,0.269215924802831,"blue"
"Pontal",710.528192093638,20,707.934342146525,713.122042040752,108.76,678.083850960394,0.0955339144643222,"black"
"Porto_Seguro",826.615990789903,26,823.429342030066,829.80263954974,1350.56,827.308240279312,-0.00203836173579711,"black"
"Relogio",549.758606111039,18,547.742548764942,551.774663457136,70.55,625.350778313597,-0.22258476705424,"red"
"Sapupara",393.864468781221,12,392.540817256242,395.188120306199,77.8,457.260996817701,-0.186674109420157,"black"
"Torem",149.981781751583,6,149.518761843374,150.444801659792,3.62,265.996433467415,-0.341610691618326,"red"
"Tristeza",1094.9385467209,31,1091.06769156024,1098.80940188157,499.91,946.166464919242,0.438066511480362,"blue"
"Tucumari",756.958410649074,24,753.997932207975,759.918889090173,336.02,778.102877520818,-0.0622608941640372,"black"
"Xibe",246.650596982862,6,245.901519705715,247.399674260009,0.91,261.834826051209,-0.04471068883984,"black"
